# Commit Message Translations
# Format: OLD_HASH|NEW_MESSAGE

bec554a|Add README.md - Project documentation
8d0ac70|Fix AdminGallery and add technical documentation
21fc530|Fix AdminGallery - Display actual gallery images and videos
c27c259|Fix vite.config.js manualChunks - Resolve build error
83aef91|Add missing dependency: @vitejs/plugin-react-swc
a3f938f|Add Node.js engine version - Fix Vercel build error
3de5e21|Complete MongoDB database setup - Fix package.json and update description
954545a|Mobile image loading performance optimizations - Add Hero preload, responsive images, decoding async, sizes attribute
5ffb4ef|Fix: Convert all mobile menu links to buttons - All links work on touch
f062214|Fix: Fix Alle Produkte link in mobile menu - Use button instead of link with manual navigate
9b54add|Fix: Fix mobile menu links - All links work on touch, add touch events
7182c5c|Increase Hero section image visibility: opacity increased from 30 to 70, overlay reduced from 60 to 40
2b5475f|Revert Hero section to original state: Remove responsive fixes, restore simple structure
a5a3664|Fix Hero section critical error: Remove backgroundAttachment fixed, backgroundSize always cover, remove unnecessary CSS
ae290b2|Fix Hero section image visibility critical fix: Remove overlay, add CSS background-image, make visibility visible
c1250a4|Fix Hero section image issue: Add background-image CSS and improve opacity/overlay settings
65bd0f8|Add new image for Hero section
1eb5c94|Fix Hero section image visibility: Set opacity to 1, reduce overlay, remove bg-black
48e9067|Increase Hero section image visibility: Optimize opacity and overlay settings
88b0deb|Fix Hero section image: Fix filename and improve opacity/overlay settings

